customer_id,name,gender,birth_date,register_date,region,modify_date
C00000,Customer_0,M,1986-12-18,2024-11-25,中部,
C00001,Customer_1,M,1974-07-25,2023-10-11,東部,
C00002,Customer_2,M,2002-02-10,2022-04-09,北部,
C00003,Customer_3,M,1983-06-21,2023-06-19,南部,
C00004,Customer_4,M,1991-09-04,2024-11-25,北部,
C00005,Customer_5,M,1975-10-03,2024-07-10,離島,
C00006,Customer_6,F,1993-12-24,2025-06-07,中部,
C00007,Customer_7,M,1977-03-14,2024-02-06,北部,
C00008,Customer_8,F,1977-08-13,2020-08-21,離島,
C00009,Customer_9,F,1998-04-19,2023-03-01,中部,
C00010,Customer_10,M,2003-10-10,2024-07-11,東部,
C00011,Customer_11,F,1973-08-18,2024-05-15,離島,
C00012,Customer_12,M,1971-02-01,2022-12-11,離島,
C00013,Customer_13,F,1994-05-20,2021-04-22,北部,
C00014,Customer_14,M,1996-07-07,2024-08-23,中部,
C00015,Customer_15,F,1997-11-25,2021-12-04,東部,
C00016,Customer_16,F,1975-07-09,2021-03-26,北部,
C00017,Customer_17,F,1978-05-12,2023-11-18,中部,
C00018,Customer_18,F,2004-12-26,2023-01-04,南部,
C00019,Customer_19,M,1999-10-04,2024-10-05,東部,
C00020,Customer_20,F,1974-03-28,2023-06-17,北部,
C00021,Customer_21,F,2001-04-30,2021-12-11,南部,
C00022,Customer_22,F,1967-06-16,2023-06-18,離島,
C00023,Customer_23,F,1967-10-09,2024-10-11,南部,
C00024,Customer_24,M,1986-06-28,2021-01-28,南部,
C00025,Customer_25,M,2003-04-22,2020-11-27,北部,
C00026,Customer_26,F,1998-05-03,2020-09-22,南部,
C00027,Customer_27,M,1971-01-28,2020-12-16,東部,
C00028,Customer_28,F,2003-05-06,2025-05-02,離島,
C00029,Customer_29,F,1987-11-06,2021-12-12,南部,
C00030,Customer_30,F,,2024-12-25,南部,
C00031,Customer_31,F,2002-09-25,2020-11-16,,
C00032,Customer_32,F,1974-06-03,2022-11-17,北部,2025-01-10
C00033,Customer_33,M,1976-04-24,2020-12-10,離島,
C00034,Customer_34,F,1987-03-19,2020-08-15,中部,
C00035,Customer_35,F,2006-06-30,2021-07-06,北部,
C00036,Customer_36,M,1988-04-28,2022-09-01,北部,
C00037,Customer_37,F,1968-12-17,2022-04-23,北部,
C00038,Customer_38,F,2006-03-06,2022-07-26,東部,
C00039,Customer_39,M,1969-06-26,2024-05-20,離島,
C00040,Customer_40,F,1992-12-05,2023-07-06,南部,
C00041,Customer_41,F,1967-12-11,2022-11-20,離島,
C00042,Customer_42,F,1993-06-18,2022-01-05,北部,
C00043,Customer_43,M,2006-04-21,2024-09-23,北部,
C00044,Customer_44,F,1997-08-27,2021-10-24,中部,2024-02-08
C00045,Customer_45,M,2000-02-19,2022-02-10,南部,2022-12-28
C00046,Customer_46,F,1983-03-13,2022-11-29,東部,
C00047,Customer_47,F,1989-04-25,2021-03-16,北部,
C00048,Customer_48,M,1972-01-01,2021-12-02,離島,2023-05-03
C00049,Customer_49,M,1994-07-22,2021-05-24,東部,
C00050,Customer_50,F,1975-12-21,2021-07-07,南部,2022-05-22
C00051,Customer_51,F,2004-03-27,2024-06-17,北部,2025-07-24
C00052,Customer_52,F,1977-05-10,2023-04-03,北部,2023-04-28
C00053,Customer_53,M,,2021-02-06,北部,
C00054,Customer_54,M,1975/04/18,2020-08-19,離島,
C00055,Customer_55,F,1995/12/10,2025-01-14,南部,
C00056,Customer_56,F,2003-11-30,2023-02-02,北部,
C00057,Customer_57,F,1981-04-06,2023-12-08,南部,
C00058,Customer_58,M,1990/08/27,2024-12-05,東部,
C00059,Customer_732,M,1986-04-12,2022-10-07,北部,2023-07-05
C00060,Customer_60,F,1973-04-02,2022-05-13,北部,
C00061,Customer_61,F,2006-03-30,2024-08-11,離島,
C00062,Customer_62,F,1972-08-25,2021-12-27,東部,
C00063,Customer_63,M,1974-12-23,2023-11-23,南部,
C00064,Customer_64,M,1977-07-20,2021-03-03,北部,
C00065,Customer_65,M,1984-03-21,2024-11-05,,
C00066,Customer_66,F,1966-07-13,2020-09-30,中部,
C00067,Customer_67,F,1996-10-22,2020-09-28,北部,2023-10-25
C00068,Customer_68,M,1988-08-18,2023-06-24,離島,2024-04-21
C00069,Customer_69,F,1970-05-23,2025-07-12,東部,
C00070,Customer_70,F,1987-08-03,2024-07-29,東部,
C00071,Customer_71,M,1989-07-23,2025-01-17,南部,
C00072,Customer_72,F,1966-04-10,2023-12-21,南部,
C00073,Customer_73,F,2000/09/06,2022-08-14,東部,2024-12-26
C00074,Customer_74,M,1974-05-12,2023-02-03,中部,
C00075,Customer_75,F,1988-08-07,2025-03-14,東部,
C00076,Customer_76,M,1993/11/26,2021-03-10,北部,
C00077,Customer_77,F,1968-02-27,2024-07-05,北部,
C00078,Customer_78,M,1987-04-26,2021-02-15,東部,
C00079,Customer_79,F,2005-06-17,2024-09-06,離島,
C00080,Customer_80,F,1984-09-13,2020-08-14,北部,2021-10-10
C00081,Customer_81,F,1972-04-27,2025-06-15,中部,
C00082,Customer_82,F,1975-05-31,2023-03-26,北部,
C00083,Customer_83,F,2004-09-27,2022-09-09,離島,
C00084,Customer_84,F,2005-04-26,2022-07-07,南部,
C00085,Customer_85,M,1985-03-07,2025-08-04,離島,
C00086,Customer_86,M,1994-02-16,2022-07-23,南部,
C00087,Customer_87,M,2003-08-05,2024-05-17,東部,
C00088,Customer_88,M,1968-01-20,2025-03-18,東部,2025-04-29
C00089,Customer_89,M,1992-11-06,2023-08-24,南部,
C00090,Customer_90,M,1968-08-28,2023-09-16,北部,
C00091,Customer_91,F,1970-10-20,2025-04-10,東部,
C00092,Customer_92,F,2007-05-03,2023-11-04,離島,
C00093,Customer_93,F,1968-09,2021-12-26,離島,
C00094,Customer_94,F,2005-06-10,2022-05-30,南部,
C00095,Customer_95,F,1996-05-25,2024-10-04,中部,2025-07-10
C00096,Customer_96,F,1969-08-22,2021-05-17,南部,
C00097,Customer_97,F,1978-03-21,2021-12-09,南部,2024-10-18
C00098,Customer_98,M,1995-01-09,2023-08-13,中部,
C00099,Customer_99,M,1982-10-30,2022-11-11,東部,
C00100,Customer_100,M,1971-12-09,2022-12-25,南部,
C00101,Customer_101,M,2004-05-01,2023-10-19,北部,
C00102,Customer_102,F,1996-02-20,2025-01-13,東部,2025-06-20
C00103,Customer_103,M,2003-01-21,2022-01-04,東部,
C00104,Customer_104,F,1972-02-16,2021-12-09,南部,2024-08-07
C00105,Customer_105,M,,2022-10-26,東部,
C00106,Customer_106,M,1989-03-25,2022-09-28,東部,
C00107,Customer_107,M,1994-05-22,2024-01-26,北部,2024-11-10
C00108,Customer_108,M,1971-05-08,2022-12-12,南部,
C00109,Customer_109,F,1986-04-19,2024-09-16,中部,
C00110,Customer_110,M,1966-02-04,2020-11-22,北部,
C00111,Customer_111,F,1970-11-21,2023-08-19,中部,
